,Age,Attrition,BusinessTravel,Department,DistanceFromHome,Education,EducationField,Gender,JobLevel,JobRole,MaritalStatus,MonthlyIncome,NumCompaniesWorked,PercentSalaryHike,StockOptionLevel,TotalWorkingYears,TrainingTimesLastYear,YearsAtCompany,YearsSinceLastPromotion,YearsWithCurrManager,JobInvolvement,PerformanceRating,total_mn,EnvironmentSatisfaction,JobSatisfaction,WorkLifeBalance,total_em,Age_tier,distancehome_tier,JobRole_tier,MonthlyIncome_tier,YearsAtCompany_tier,TotalWorkingYear_tier
1027,46,0,0,1,9,2,1,1,2,4,2,57310,8.0,17,0,6.0,2,2,2,2,3,3,3.0,2.0,2.0,3.0,2.3333333333333335,2,3,2,3,2,3
1028,40,0,2,1,2,2,3,1,1,5,1,25390,4.0,12,1,7.0,3,4,0,2,3,3,3.0,3.0,1.0,2.0,2.0,1,4,2,2,2,3
1029,42,0,2,1,7,4,4,0,2,2,1,57140,5.0,11,0,10.0,2,0,0,0,3,3,3.0,2.0,1.0,2.0,1.6666666666666667,2,3,3,3,1,4
1030,35,0,0,2,10,1,1,0,2,5,0,43230,2.0,18,3,15.0,3,7,1,7,3,3,3.0,2.0,4.0,3.0,3.0,1,3,2,3,3,5
1031,38,0,0,2,6,4,2,1,3,7,0,73360,5.0,11,0,13.0,3,11,3,8,3,3,3.0,1.0,2.0,3.0,2.0,1,3,1,4,4,5
1032,34,1,1,1,2,1,1,1,1,4,1,134990,4.0,23,2,11.0,2,7,0,7,4,4,4.0,4.0,1.0,2.0,2.3333333333333335,1,4,2,5,3,4
1033,37,1,2,1,24,3,1,1,1,2,2,137580,1.0,11,1,10.0,5,10,0,8,3,3,3.0,4.0,1.0,1.0,2.0,1,1,3,5,4,4
1034,39,0,1,1,2,1,3,1,2,0,0,51550,2.0,18,1,7.0,3,2,2,2,2,3,2.5,3.0,4.0,3.0,3.3333333333333335,1,4,4,3,2,3
1035,43,0,0,0,8,5,3,0,3,7,2,22580,4.0,18,0,7.0,2,3,1,2,3,3,3.0,1.0,3.0,2.0,2.0,2,3,1,1,2,3
1036,41,0,2,1,3,3,1,1,3,6,2,35970,3.0,13,1,11.0,2,3,1,2,1,3,2.0,2.0,2.0,1.0,1.6666666666666667,2,4,1,3,2,4
1037,41,0,2,1,1,1,5,1,3,2,0,25150,0.0,18,0,23.0,2,22,13,5,2,3,2.5,3.0,3.0,4.0,3.3333333333333335,2,4,3,2,5,5
1038,30,0,2,2,26,3,2,0,2,3,2,44200,9.0,11,0,9.0,3,7,0,2,3,3,3.0,1.0,3.0,3.0,2.3333333333333335,0,1,3,3,3,4
1039,26,1,2,0,2,1,5,0,3,7,1,65780,0.0,15,2,6.0,3,5,1,4,2,3,2.5,4.0,2.0,3.0,3.0,0,4,1,4,3,3
1040,46,1,2,1,10,3,3,1,1,7,1,44220,4.0,11,1,13.0,2,9,3,7,3,3,3.0,4.0,2.0,4.0,3.3333333333333335,2,3,1,3,4,5
1041,40,0,2,2,27,2,3,0,3,7,0,102740,4.0,18,0,12.0,3,5,0,3,3,3,3.0,3.0,4.0,3.0,3.3333333333333335,1,1,1,5,3,5
1042,34,0,2,1,2,3,1,1,2,2,1,53430,1.0,14,0,10.0,5,10,4,8,2,3,2.5,2.0,3.0,3.0,2.6666666666666665,1,4,3,3,4,4
1043,58,0,0,1,2,4,3,1,1,2,0,23760,4.0,12,1,37.0,3,16,14,14,3,3,3.0,2.0,2.0,2.0,2.0,3,4,3,1,5,5
1044,35,0,2,1,8,1,5,0,3,4,1,53460,0.0,14,0,6.0,3,5,0,3,2,3,2.5,2.0,3.0,4.0,3.0,1,3,2,3,3,3
1045,47,0,2,1,19,5,3,0,2,6,0,28270,8.0,14,1,28.0,3,22,14,10,3,3,3.0,3.0,2.0,3.0,2.6666666666666665,2,2,1,2,5,5
1046,40,0,2,1,1,4,1,1,2,3,0,199430,2.0,13,1,15.0,3,7,7,7,3,3,3.0,2.0,1.0,3.0,2.0,1,4,3,5,3,5
1047,54,0,2,2,27,4,3,1,1,6,1,31310,4.0,14,0,14.0,3,7,1,7,2,3,2.5,4.0,4.0,2.0,3.3333333333333335,3,1,1,2,3,5
1048,31,0,1,2,8,4,4,0,3,4,1,25520,2.0,18,0,9.0,2,3,2,2,3,3,3.0,1.0,1.0,3.0,1.6666666666666667,1,3,2,2,2,4
1049,28,0,2,2,1,2,1,1,3,3,1,44770,1.0,15,0,3.0,6,3,1,2,3,3,3.0,3.0,1.0,3.0,2.3333333333333335,0,4,3,3,2,2
1050,38,0,2,1,19,3,3,0,2,4,1,64740,2.0,13,2,20.0,3,4,0,3,1,3,2.0,2.0,4.0,2.0,2.6666666666666665,1,2,2,4,2,5
1051,26,0,2,2,8,3,2,0,1,0,2,30330,1.0,12,0,5.0,2,5,1,2,2,3,2.5,3.0,4.0,3.0,3.3333333333333335,0,3,4,2,3,3
1052,58,0,1,1,10,4,5,0,1,8,1,29360,2.0,13,1,23.0,3,2,2,2,3,3,3.0,1.0,3.0,3.0,2.3333333333333335,3,3,0,2,2,5
1053,18,0,0,1,2,3,1,1,3,8,2,186060,1.0,24,2,0.0,4,0,0,0,3,4,3.5,2.0,3.0,1.0,2.0,4,4,0,5,1,1
1054,31,1,2,1,2,3,1,1,3,2,1,21680,0.0,14,1,2.0,2,1,0,0,3,3,3.0,4.0,1.0,3.0,2.6666666666666665,1,4,3,1,1,2
1055,29,1,2,1,8,2,3,1,1,3,0,28530,4.0,14,1,4.0,5,2,2,0,2,3,2.5,1.0,1.0,3.0,1.6666666666666667,0,3,3,2,2,2
1056,45,0,0,2,1,4,5,1,1,6,1,170480,4.0,15,0,10.0,3,8,5,7,2,3,2.5,3.0,3.0,4.0,3.3333333333333335,2,4,1,5,4,4
1057,36,0,2,2,2,3,5,0,5,2,1,22900,4.0,11,0,15.0,5,1,0,0,3,3,3.0,4.0,2.0,3.0,3.0,1,4,3,1,1,5
1058,43,0,1,2,8,3,3,1,1,5,1,36000,1.0,23,0,7.0,2,7,7,7,3,4,3.5,1.0,4.0,3.0,2.6666666666666665,2,3,2,3,3,3
1059,27,0,1,2,8,4,1,1,5,6,2,21070,0.0,13,0,6.0,2,5,0,2,3,3,3.0,4.0,4.0,2.0,3.3333333333333335,0,3,1,1,3,3
1060,29,0,1,1,6,2,3,1,1,1,1,41150,1.0,11,0,11.0,1,11,3,10,3,3,3.0,4.0,4.0,4.0,4.0,0,3,4,3,4,4
1061,32,0,1,2,9,4,1,1,4,7,2,43270,8.0,13,0,4.0,4,0,0,0,3,3,3.0,4.0,4.0,4.0,4.0,1,3,1,3,1,2
1062,42,0,0,1,11,3,3,1,1,3,1,178560,3.0,18,0,10.0,2,6,3,3,3,3,3.0,3.0,3.0,2.0,2.6666666666666665,2,2,3,5,3,4
1063,47,0,2,2,2,2,1,0,5,3,2,31960,4.0,14,1,7.0,3,2,2,0,2,3,2.5,2.0,3.0,3.0,2.6666666666666665,2,4,3,2,2,3
1064,46,0,2,0,1,3,1,0,1,2,0,190810,3.0,21,0,12.0,2,9,4,7,3,4,3.5,4.0,4.0,2.0,3.3333333333333335,2,4,3,5,4,5
1065,28,0,0,1,7,3,1,1,1,7,0,89660,1.0,16,1,3.0,3,3,2,2,2,3,2.5,3.0,4.0,3.0,3.3333333333333335,0,3,1,4,2,2
1066,29,0,2,1,16,3,3,0,1,4,0,22100,8.0,11,1,11.0,4,7,1,6,3,3,3.0,4.0,3.0,3.0,3.3333333333333335,0,2,2,1,3,4
1067,42,0,2,2,2,4,3,0,2,5,2,45390,4.0,17,1,8.0,5,0,0,0,3,3,3.0,4.0,3.0,3.0,3.3333333333333335,2,4,2,3,1,4
1068,32,1,2,1,1,1,3,1,2,2,2,27410,7.0,11,0,7.0,3,2,2,2,3,3,3.0,3.0,2.0,2.0,2.3333333333333335,1,4,3,2,2,3
1069,46,0,2,1,23,1,1,1,2,2,0,34910,2.0,14,0,25.0,0,19,2,8,3,3,3.0,1.0,1.0,3.0,1.6666666666666667,2,1,3,2,5,5
1070,27,0,2,2,2,3,1,0,5,6,1,45410,1.0,14,2,9.0,4,9,5,8,4,3,3.5,2.0,3.0,3.0,2.6666666666666665,0,4,1,3,4,4
1071,29,0,2,1,1,2,3,1,3,7,1,26780,1.0,25,1,1.0,3,1,0,0,3,4,3.5,4.0,2.0,3.0,3.0,0,4,1,2,1,1
1072,43,0,2,1,1,3,1,1,1,4,1,73790,7.0,13,2,21.0,3,16,6,14,2,3,2.5,1.0,3.0,3.0,2.3333333333333335,2,4,2,4,5,5
1073,48,0,2,1,2,3,1,0,2,3,1,62720,4.0,14,0,29.0,3,22,12,9,2,3,2.5,4.0,2.0,3.0,3.0,2,4,3,4,5,5
1074,29,1,1,1,13,2,1,0,1,2,2,52200,1.0,17,0,1.0,3,1,1,0,2,3,2.5,4.0,4.0,2.0,3.3333333333333335,0,2,3,3,1,1
1075,46,1,2,1,4,4,3,0,2,8,1,27430,5.0,25,1,14.0,1,8,0,7,4,4,4.0,3.0,2.0,3.0,2.6666666666666665,2,4,0,2,4,5
1076,27,0,1,1,16,4,3,1,3,0,1,49980,0.0,20,2,8.0,3,7,7,3,3,4,3.5,4.0,1.0,2.0,2.3333333333333335,0,2,4,3,3,4
1078,55,0,2,1,2,3,1,0,1,1,1,27810,8.0,13,1,19.0,2,5,0,4,3,3,3.0,2.0,4.0,4.0,3.3333333333333335,3,4,4,2,3,5
1079,28,0,2,1,29,2,1,1,2,2,1,68520,1.0,18,1,1.0,2,1,0,0,4,3,3.5,2.0,2.0,3.0,2.3333333333333335,0,1,3,4,1,1
1080,30,1,2,2,12,4,1,0,2,7,2,49500,1.0,12,2,1.0,3,1,0,0,3,3,3.0,2.0,4.0,2.0,2.6666666666666665,0,2,1,3,1,1
1081,22,1,2,1,16,2,1,0,2,2,2,35790,1.0,19,3,1.0,3,1,0,0,3,3,3.0,4.0,2.0,3.0,3.0,0,2,3,3,1,1
1082,36,0,2,1,11,3,1,1,1,7,1,131910,1.0,14,1,10.0,2,10,1,7,2,3,2.5,2.0,3.0,3.0,2.6666666666666665,1,2,1,5,4,4
1083,31,0,2,1,2,4,1,0,5,3,0,103770,1.0,14,0,10.0,2,10,0,2,3,3,3.0,2.0,3.0,3.0,2.6666666666666665,1,4,3,5,4,4
1084,34,0,2,2,14,2,5,0,1,7,1,22350,2.0,14,1,9.0,2,5,1,0,3,3,3.0,3.0,4.0,3.0,3.3333333333333335,1,2,1,1,3,4
1085,29,0,2,1,5,5,1,0,1,7,2,105020,3.0,12,0,11.0,4,3,1,2,2,3,2.5,4.0,1.0,3.0,2.6666666666666665,0,4,1,5,2,4
1086,37,0,2,1,7,2,3,1,1,4,1,20110,5.0,13,0,16.0,4,5,0,4,4,3,3.5,4.0,1.0,3.0,2.6666666666666665,1,3,2,1,3,5
1087,35,0,2,2,2,1,5,1,2,2,1,18590,0.0,25,1,4.0,2,3,0,2,2,4,3.0,4.0,2.0,3.0,3.0,1,4,3,1,2,2
1088,45,0,2,1,3,3,3,0,2,7,1,37600,0.0,14,1,10.0,2,9,3,8,2,3,2.5,2.0,4.0,2.0,2.6666666666666665,2,4,1,3,4,4
1089,36,0,1,1,5,3,3,0,4,4,2,177790,1.0,17,1,10.0,5,10,0,8,1,3,2.0,2.0,4.0,2.0,2.6666666666666665,1,4,2,5,4,4
1090,40,0,2,1,3,3,4,1,1,7,0,68330,2.0,13,0,22.0,3,19,11,16,3,3,3.0,1.0,1.0,3.0,1.6666666666666667,1,4,1,4,5,5
1091,26,0,2,1,26,2,1,1,2,1,1,68120,1.0,13,0,1.0,2,1,1,0,2,3,2.5,2.0,3.0,2.0,2.3333333333333335,0,1,4,4,1,1
1093,48,0,1,1,2,3,1,1,2,5,0,197400,3.0,14,0,24.0,2,22,4,7,4,3,3.5,4.0,4.0,3.0,3.6666666666666665,2,4,2,5,5,5
1094,44,0,2,2,1,2,3,1,4,3,1,187110,2.0,12,1,10.0,0,2,2,2,3,3,3.0,2.0,1.0,3.0,2.0,2,4,3,5,2,4
1095,34,1,0,1,27,2,1,0,1,8,1,36920,1.0,12,1,5.0,5,5,3,0,3,3,3.0,4.0,1.0,3.0,2.6666666666666665,1,1,0,3,3,3
1096,56,1,2,0,1,2,3,0,5,7,2,25590,1.0,21,0,5.0,3,4,1,0,3,4,3.5,1.0,4.0,3.0,2.6666666666666665,3,4,1,2,2,3
1097,36,0,2,1,13,3,5,0,3,0,1,25170,2.0,14,0,12.0,3,4,1,3,3,3,3.0,3.0,2.0,1.0,2.0,1,2,4,2,2,5
1098,41,0,2,1,5,3,1,0,1,7,1,66230,5.0,18,0,14.0,3,5,1,4,3,3,3.0,3.0,2.0,3.0,2.6666666666666665,2,4,1,4,3,5
1099,42,0,2,1,7,3,5,0,2,7,1,182650,9.0,12,1,18.0,4,13,5,7,3,3,3.0,3.0,1.0,4.0,2.6666666666666665,2,3,1,5,5,5
1100,31,0,2,2,9,4,1,0,1,7,0,161240,2.0,23,1,8.0,2,5,1,4,2,4,3.0,3.0,4.0,3.0,3.3333333333333335,1,3,1,5,3,4
1101,34,0,2,1,8,1,1,0,3,2,1,25850,3.0,12,0,9.0,5,4,0,1,3,3,3.0,4.0,4.0,2.0,3.3333333333333335,1,3,3,2,2,4
1102,31,0,2,2,25,2,1,0,3,4,0,182130,8.0,21,2,4.0,3,2,2,2,4,4,4.0,1.0,3.0,2.0,2.0,1,1,2,5,2,2
1104,45,0,1,1,8,4,1,0,2,3,2,29940,4.0,18,1,12.0,2,4,0,3,3,3,3.0,2.0,3.0,3.0,2.6666666666666665,2,3,3,2,2,5
1105,33,0,2,2,1,3,1,0,5,7,2,12230,1.0,13,1,10.0,3,10,0,9,3,3,3.0,2.0,3.0,2.0,2.3333333333333335,1,4,1,1,4,4
1106,28,0,1,2,8,3,1,1,4,6,1,11180,1.0,11,0,7.0,3,7,0,7,3,3,3.0,3.0,4.0,3.0,3.3333333333333335,0,3,1,1,3,3
1107,29,1,1,0,2,4,0,1,2,7,2,28750,1.0,11,0,1.0,3,1,0,0,3,3,3.0,3.0,1.0,3.0,2.3333333333333335,0,4,1,2,1,1
1108,39,0,0,1,8,5,3,0,2,8,1,188240,6.0,19,1,10.0,4,3,1,2,3,3,3.0,1.0,3.0,3.0,2.3333333333333335,1,3,0,5,2,4
1109,27,0,2,2,3,2,5,1,2,0,1,135770,1.0,12,1,6.0,2,5,1,2,3,3,3.0,2.0,2.0,2.0,2.0,0,4,4,5,3,3
1110,34,0,1,1,9,4,1,0,2,4,1,26250,1.0,12,3,16.0,4,15,6,11,3,3,3.0,3.0,4.0,3.0,3.3333333333333335,1,3,2,2,5,5
1111,28,1,2,1,25,3,5,1,1,5,2,187890,3.0,16,1,6.0,4,2,2,2,3,3,3.0,4.0,3.0,3.0,3.3333333333333335,0,1,2,5,2,3
1112,47,0,0,1,1,4,3,1,1,6,1,45380,8.0,11,0,16.0,3,8,1,7,3,3,3.0,3.0,2.0,4.0,3.0,2,4,1,3,4,5
1113,56,0,2,1,4,3,5,0,2,7,1,198470,4.0,14,0,6.0,6,0,0,0,3,3,3.0,4.0,1.0,3.0,2.6666666666666665,3,4,1,5,1,3
1114,39,0,2,1,1,3,4,0,1,2,1,105120,1.0,12,1,10.0,2,10,7,9,3,3,3.0,1.0,1.0,3.0,1.6666666666666667,1,4,3,5,4,4
1115,38,0,1,1,4,2,3,0,1,3,0,44440,1.0,13,0,20.0,2,20,0,7,3,3,3.0,4.0,2.0,3.0,3.0,1,4,3,3,5,5
1116,58,0,2,2,5,3,2,1,5,8,1,21540,4.0,21,1,29.0,3,1,0,0,3,4,3.5,4.0,4.0,2.0,3.3333333333333335,3,4,0,1,1,5
1117,32,1,1,1,9,3,1,1,2,2,2,191900,3.0,17,1,8.0,2,4,0,3,3,3,3.0,1.0,3.0,3.0,2.3333333333333335,1,3,3,5,2,4
1118,38,0,2,1,3,4,1,0,1,8,0,44900,2.0,21,1,10.0,1,5,0,3,3,4,3.5,2.0,4.0,4.0,3.3333333333333335,1,4,0,3,3,4
1119,49,0,1,2,11,4,1,1,2,6,1,35060,3.0,11,1,28.0,4,5,4,3,2,3,2.5,2.0,4.0,3.0,3.0,2,2,1,3,3,5
1120,42,0,2,2,1,3,1,0,1,7,0,23720,3.0,12,1,14.0,3,0,0,0,3,3,3.0,2.0,4.0,3.0,3.0,2,4,1,1,1,5
1121,27,1,1,2,8,1,1,1,4,2,1,102310,1.0,13,1,1.0,2,1,0,0,3,3,3.0,1.0,2.0,3.0,2.0,0,3,3,5,1,1
1122,35,0,2,1,25,1,3,1,1,7,1,54100,0.0,18,0,6.0,4,5,0,4,3,3,3.0,2.0,1.0,1.0,1.3333333333333333,1,1,1,3,3,3
1123,28,0,0,1,21,1,3,1,3,6,2,79780,1.0,16,2,5.0,2,5,1,4,3,3,3.0,3.0,3.0,2.0,2.6666666666666665,0,1,1,4,3,3
1124,31,0,0,2,23,1,3,1,1,7,0,38670,1.0,11,1,4.0,4,4,2,3,4,3,3.5,3.0,1.0,4.0,2.6666666666666665,1,1,1,3,2,2
1125,36,0,0,1,1,3,1,1,2,6,1,28380,1.0,19,2,5.0,5,5,0,2,1,3,2.0,1.0,2.0,3.0,2.0,1,4,1,2,3,3
1126,34,0,2,2,2,3,2,1,4,0,2,46950,1.0,16,1,14.0,2,14,2,1,3,3,3.0,1.0,4.0,2.0,2.3333333333333335,1,4,4,3,5,5
1127,34,0,2,1,19,3,5,0,1,5,0,33390,1.0,16,0,9.0,2,8,1,1,2,3,2.5,4.0,3.0,2.0,3.0,1,2,2,2,4,4
1128,26,0,2,1,2,2,1,1,2,6,2,20800,0.0,13,0,8.0,6,7,7,6,4,3,3.5,3.0,1.0,2.0,2.0,0,4,1,1,3,4
1129,29,0,2,1,2,4,4,1,2,2,1,20960,0.0,22,0,6.0,2,5,0,2,4,4,4.0,1.0,1.0,2.0,1.3333333333333333,0,4,3,1,3,3
1130,32,0,0,1,3,1,1,1,3,3,0,62090,5.0,17,1,9.0,5,5,1,2,4,3,3.5,3.0,4.0,3.0,3.3333333333333335,1,4,3,4,3,4
1131,31,0,1,1,25,5,5,0,2,1,1,180610,1.0,14,1,10.0,2,10,8,7,3,3,3.0,4.0,1.0,3.0,2.6666666666666665,1,1,4,5,4,4
1132,28,1,2,2,7,5,1,0,2,8,0,171230,5.0,15,1,6.0,2,4,0,3,2,3,2.5,3.0,4.0,2.0,3.0,0,3,0,5,2,3
1133,38,0,2,1,9,2,5,1,3,8,2,23720,4.0,12,0,20.0,3,1,0,0,2,3,2.5,1.0,1.0,2.0,1.3333333333333333,1,3,0,1,1,5
1134,35,0,2,1,5,3,1,1,2,8,1,48830,1.0,18,1,10.0,1,10,0,9,1,3,2.0,3.0,4.0,3.0,3.3333333333333335,1,4,0,3,4,4
1135,27,0,2,2,2,3,1,0,1,3,2,39040,1.0,15,0,7.0,2,7,0,7,3,3,3.0,4.0,4.0,3.0,3.6666666666666665,0,4,3,3,3,3
1136,32,0,2,1,8,1,3,0,2,6,2,46270,8.0,17,1,8.0,2,1,0,0,2,3,2.5,4.0,4.0,3.0,3.6666666666666665,1,3,1,3,1,4
1137,31,1,1,1,2,1,4,1,3,7,1,70940,1.0,14,1,10.0,2,10,0,8,3,3,3.0,1.0,4.0,3.0,2.6666666666666665,1,4,1,4,4,4
1138,53,1,2,1,18,3,3,1,1,6,2,34230,6.0,15,1,15.0,4,2,2,2,3,3,3.0,1.0,1.0,2.0,1.3333333333333333,3,2,1,2,2,5
1139,54,0,2,1,14,3,4,1,3,6,1,66740,3.0,17,1,9.0,2,4,2,3,3,3,3.0,1.0,3.0,2.0,2.0,3,2,1,4,2,4
1140,33,0,1,1,2,4,3,0,4,7,0,168800,1.0,14,3,9.0,2,9,2,8,3,3,3.0,4.0,3.0,3.0,3.3333333333333335,1,4,1,5,4,4
1141,43,0,2,1,3,3,3,1,1,6,1,90940,1.0,12,1,10.0,0,10,0,9,3,3,3.0,1.0,3.0,3.0,2.3333333333333335,2,4,1,4,4,4
1142,38,0,1,1,2,5,3,0,4,7,1,84460,0.0,14,0,7.0,3,6,1,2,2,3,2.5,4.0,2.0,3.0,3.0,1,4,1,4,3,3
1143,55,0,2,2,9,3,2,1,2,2,1,119160,4.0,15,1,35.0,3,10,1,4,2,3,2.5,3.0,2.0,3.0,2.6666666666666665,3,3,3,5,4,5
1144,31,0,2,2,6,3,4,1,1,4,0,45340,1.0,13,0,1.0,2,1,0,0,3,3,3.0,4.0,4.0,3.0,3.6666666666666665,1,3,2,3,1,1
1145,39,0,2,1,4,3,1,1,2,7,2,98520,0.0,12,1,21.0,5,20,11,10,2,3,2.5,2.0,1.0,3.0,2.0,1,4,1,4,5,5
1146,42,0,0,1,10,4,1,0,2,6,2,61510,1.0,13,1,20.0,3,20,3,7,3,3,3.0,4.0,3.0,3.0,3.3333333333333335,2,3,1,4,5,5
1147,31,0,0,1,14,2,1,1,2,0,1,23020,4.0,14,0,13.0,3,11,4,8,3,3,3.0,3.0,3.0,4.0,3.3333333333333335,1,2,4,1,4,5
1148,54,0,2,1,1,3,3,0,2,1,2,23620,6.0,13,1,9.0,2,5,1,4,4,3,3.5,3.0,1.0,3.0,2.3333333333333335,3,4,4,1,3,4
1149,24,0,2,1,5,4,4,1,1,4,2,178610,1.0,11,2,4.0,5,4,1,2,1,3,2.0,2.0,3.0,2.0,2.3333333333333335,0,4,2,5,2,2
1150,23,0,2,1,7,3,1,1,2,6,2,191870,1.0,11,1,5.0,2,5,1,4,3,3,3.0,4.0,4.0,4.0,4.0,0,3,1,5,3,3
1151,40,0,1,1,21,3,3,0,3,6,1,197170,1.0,21,0,10.0,1,10,9,4,2,4,3.0,4.0,3.0,4.0,3.6666666666666665,1,1,1,5,4,4
1152,40,0,2,1,8,1,3,0,5,6,1,35440,3.0,18,3,15.0,3,11,5,10,2,3,2.5,2.0,2.0,3.0,2.3333333333333335,1,3,1,3,4,5
1153,25,0,2,2,20,5,3,0,2,2,1,85000,4.0,12,0,6.0,2,2,1,2,3,3,3.0,3.0,2.0,3.0,2.6666666666666665,0,2,3,4,2,3
1154,30,0,2,0,20,4,1,1,2,6,1,46610,1.0,11,0,12.0,3,12,1,7,2,3,2.5,4.0,2.0,2.0,2.6666666666666665,0,2,1,3,5,5
1155,25,0,2,1,7,2,3,1,5,7,0,41030,6.0,15,1,7.0,2,2,0,2,3,3,3.0,4.0,3.0,2.0,3.0,0,3,1,3,2,3
1156,47,0,2,1,1,4,1,1,2,7,2,42490,2.0,13,1,25.0,2,17,12,11,2,3,2.5,1.0,3.0,3.0,2.3333333333333335,2,4,1,3,5,5
1157,33,0,0,1,1,3,1,1,2,6,0,140260,1.0,12,0,1.0,4,1,0,0,3,3,3.0,2.0,3.0,2.0,2.3333333333333335,1,4,1,5,1,1
1158,38,0,2,1,19,3,1,0,2,7,1,68930,0.0,17,0,16.0,3,15,5,8,3,3,3.0,4.0,2.0,3.0,3.0,1,2,1,4,5,5
1159,31,0,2,1,10,4,3,0,3,7,1,61250,0.0,13,1,3.0,3,2,1,2,3,3,3.0,1.0,3.0,3.0,2.3333333333333335,1,3,1,4,2,2
1160,38,0,1,1,1,4,4,1,2,6,1,36690,2.0,19,0,10.0,2,8,7,7,3,3,3.0,1.0,3.0,3.0,2.3333333333333335,1,4,1,3,4,4
1161,42,0,2,1,6,3,3,1,2,2,0,100080,6.0,19,1,9.0,3,4,1,2,1,3,2.0,4.0,1.0,2.0,2.3333333333333335,2,3,3,5,2,4
1162,41,0,2,2,2,2,3,1,1,0,1,23870,3.0,17,1,12.0,1,5,1,0,1,3,2.0,4.0,4.0,3.0,3.6666666666666665,2,4,4,1,3,5
1163,47,0,0,1,21,2,3,1,1,7,1,46390,0.0,11,1,14.0,2,13,5,12,2,3,2.5,3.0,2.0,1.0,2.0,2,1,1,3,5,5
1164,35,0,2,1,4,3,1,1,2,0,1,78980,7.0,15,0,5.0,2,2,2,2,2,3,2.5,4.0,3.0,3.0,3.3333333333333335,1,4,4,4,2,3
1165,22,0,2,0,12,1,0,1,2,7,2,25340,0.0,11,0,4.0,1,3,1,2,3,3,3.0,4.0,3.0,4.0,3.6666666666666665,0,2,1,2,2,2
1166,35,0,2,1,9,3,3,0,2,7,2,131420,1.0,25,2,10.0,4,10,0,8,3,4,3.5,2.0,3.0,3.0,2.6666666666666665,1,3,1,5,4,4
1167,33,0,2,2,3,4,3,1,3,0,1,16110,0.0,14,0,10.0,2,9,8,1,2,3,2.5,2.0,4.0,3.0,3.0,1,4,4,1,4,4
1168,32,0,2,1,3,2,5,1,3,4,2,53630,1.0,13,0,6.0,4,6,4,1,3,3,3.0,3.0,2.0,3.0,2.6666666666666665,1,4,2,3,3,3
1169,40,0,2,1,1,4,3,1,2,5,1,50710,8.0,17,1,8.0,3,1,0,0,2,3,2.5,1.0,4.0,2.0,2.3333333333333335,1,4,2,3,1,4
1170,32,0,2,1,1,2,3,1,3,7,1,136950,0.0,13,0,3.0,3,2,2,2,3,3,3.0,2.0,2.0,3.0,2.3333333333333335,1,4,1,5,2,2
1171,39,0,2,1,4,4,1,1,1,7,2,134020,7.0,14,1,18.0,1,7,1,7,3,3,3.0,1.0,4.0,3.0,2.6666666666666665,1,4,1,5,3,5
1172,38,0,2,2,20,4,3,0,2,5,1,20290,3.0,11,1,20.0,3,18,1,11,2,3,2.5,2.0,3.0,3.0,2.6666666666666665,1,2,2,1,5,5
1173,32,0,2,1,18,3,1,1,2,3,1,63770,1.0,12,2,14.0,3,14,5,7,3,3,3.0,3.0,4.0,3.0,3.3333333333333335,1,2,3,4,5,5
1174,37,0,2,1,1,3,1,0,4,7,1,54290,1.0,17,1,16.0,3,16,6,8,3,3,3.0,3.0,4.0,3.0,3.3333333333333335,1,4,1,3,5,5
1175,25,0,2,1,2,4,3,0,2,4,0,27850,0.0,21,0,6.0,2,5,0,4,3,4,3.5,1.0,3.0,2.0,2.0,0,4,2,2,3,3
1176,52,0,0,1,2,4,4,1,1,3,0,46140,2.0,16,1,16.0,3,9,0,0,3,3,3.0,1.0,4.0,2.0,2.3333333333333335,3,4,3,3,4,5
1177,44,0,2,1,8,1,1,0,1,8,2,26100,6.0,15,0,6.0,2,4,1,2,3,3,3.0,2.0,4.0,3.0,3.0,2,3,0,2,2,3
1178,21,0,2,2,10,5,3,1,3,6,2,66870,1.0,19,3,2.0,0,2,1,2,3,3,3.0,3.0,1.0,3.0,2.3333333333333335,0,3,1,4,2,2
1179,39,0,0,1,3,4,1,0,2,5,2,47240,2.0,12,1,21.0,4,6,1,3,4,3,3.5,4.0,4.0,2.0,3.3333333333333335,1,4,2,3,3,5
1180,23,1,1,1,2,4,1,0,2,4,1,61790,1.0,11,0,1.0,3,1,1,0,3,3,3.0,4.0,1.0,2.0,2.3333333333333335,0,4,2,4,1,1
1181,36,0,2,1,24,3,1,0,2,2,1,61200,0.0,19,0,10.0,2,9,3,4,3,3,3.0,1.0,4.0,3.0,2.6666666666666665,1,1,3,4,4,4
1182,36,0,1,1,16,1,3,1,2,7,0,105960,7.0,15,0,18.0,3,4,0,2,2,3,2.5,4.0,2.0,3.0,3.0,1,2,1,5,2,5
1183,56,0,0,1,8,1,1,1,1,7,0,54670,1.0,20,0,13.0,6,13,1,9,2,4,3.0,3.0,3.0,2.0,2.6666666666666665,3,3,1,3,5,5
1184,29,1,2,1,9,4,3,1,2,8,1,29960,9.0,25,0,4.0,4,2,2,2,3,4,3.5,1.0,4.0,4.0,3.0,0,3,0,2,2,2
1185,42,0,2,1,17,1,1,1,3,6,1,99980,5.0,24,2,24.0,3,22,4,14,2,4,3.0,1.0,3.0,2.0,2.0,2,2,1,4,5,5
